name ,   address,   has_events ,   url
Blondies Bar & No Grill,540 Valencia St   San Francisco   CA   94110,,http://blondiesbar.com/
Crossroads Cafe,600 Embarcadero St   San Francisco   CA   94107,no,http://crossroadscafeacton.com/
Cafe Delucchi,1526 Powell St   San Francisco   CA   94133,no,
Burger King Rest,1690 Valencia St   San Francisco   CA   94110,no,http://www.bk.com/
Riverside Seafood Restaurant,1201 Vicente St   San Francisco   CA   94116,no,http://www.riversideseafood.com/
Ristorante Parma,3314 Steiner St   San Francisco   CA   94123,,None
Jonells,401 Ellis St   San Francisco   CA   94102,no,
Pharaohs,70 Baldwin Ave   Daly City   CA   94015,no,n/a
Naan-n-curry,690 Van Ness Avenue   San Francisco   CA   94102,no,http://naancurry.com/
Bangkok Express,333 Bush St #124-d   San Francisco   CA   94104,no,N/A
Twenty-five Lusk Restaurant,25 Lusk St   San Francisco   CA   94107,no,http://www.25lusk.com/
Bluestem Brasserie,5 3rd St #1120   San Francisco   CA   94103,,none
Le Cafe Du Soleil,200 Fillmore St   San Francisco   CA   94117,yes,http://www.cafedusoleil.ch/
Chili Lemon Garlic Llc,518 Bryant St   San Francisco   CA   94107,,None
E T C Dessert Cafe,1919 Irving St   San Francisco   CA   94122,no,http://www.etcbakery.com/
Cedar Hill-kitchen & Smokehse,3242 Scott St   San Francisco   CA   94123,yes,http://www.cedarhillsf.com/
One Market Restaurant,1 Market Street Suite 347   San Francisco   CA   94105,yes,http://www.onemarket.com
Le Truc,1654 Carmel Dr   Walnut Creek   CA   94596,,none
Geneva Pizza & Grill,942 Geneva Ave   San Francisco   CA   94112,no,N/A
Fishermans Grotto #9,9 Fishermans Wharf   San Francisco   CA   94133,yes,http://www.fishermensgrotto.com/
Green Chile Kitchen & Market,155 Gardenside Dr Apt 14   San Francisco   CA   94131,,None
Roam Artisan Burgers,1649 Greenwich St   San Francisco   CA   94123,no,roamburgers.com
Hisago,2457 Lincoln Way   San Francisco   CA   94122,no,www.hisago.co.jp
Pac Cafe,7000 Geary Bl   San Francisco   CA   94121,yes,
Out The Door,580 Valencia Street   San Francisco   CA   94110,no,http://outthedoors.com/
Urban Picnic,125 Kearny St   San Francisco   CA   94108,,None
Coco500,500 Brannan St   San Francisco   CA   94107,yes,http://www.coco500.com/
Super Duper,350 Liberty St   San Francisco   CA   94114,no,http://superdupersf.com/
Lee's Sandwiches,625 Larkin St   San Francisco   CA   94109,no,http://leesandwiches.com/
Medjool Inc,2522 Mission St   San Francisco   CA   94110,yes,www.medjoolsf.com/medjool_giving.htm
Thai House 530,530 Valencia St   San Francisco   CA   94110,yes,http://www.thaihouse530.com/
Mission Cheese,363 Hermann St   San Francisco   CA   94117,yes,http://www.missioncheese.net/
Mojo Bicycle Cafe Inc,639 Divisadero St #a   San Francisco   CA   94117,yes,
Mortons The Steakhouse,325 N La Salle St #500   Chicago   IL   60654,yes,http://www.mortons.com/index.php
The Moss Room,55 Music Concourse Drive   San Francisco   CA   94118,yes,http://www.themossroom.com/
Munchboxx,619 Mount Vernon Ave   San Francisco   CA   94112,,none
Kushitsuru Restaurant Sf,1680 Post Street Suite #a   San Francisco   CA   94115,no,http://www.kushitsuru.com/
Ggu Stdnt Ctr Cfe Op By Neetos,Neetos Inc.   Concord   CA   94518,,none
Reveille,937 Harrison St   San Francisco   CA   94107,no,http://www.reveillecoffee.com/HOME.html
Ninki Bar & Restaurant,1439 Taraval St   San Francisco   CA   94116,yes,http://www.ninkisf.com/
Mifune Bistro,1737 Post St   San Francisco   CA   94115,yes,http://www.mifune.com/
Parada 22,1508 Meek Ave   Napa   CA   94559,no,http://www.parada22.com/
Intl House Of Pancakes Inc,1323 Newbury Rd #100   Newbury Park   CA   91320,,none
Golden Boy Pizza,542 Green St   San Francisco   CA   94133,no,http://www.goldenboypizza.com/
Lees Deli,100 Bush Street   #820   San Francisco   CA,no,http://www.leesdeli.com/
Lee's Deli,100 Bush Street   #820   San Francisco   CA,no,n/a
Taqueria San Jose #3,2257 Mason Street   San Francisco   CA   94133,,none
Cha-am Restaurant (sf),701 Folsom St   San Francisco   CA   94107,no,http://www.chaamthaisf.com/
Bullshead Restaurant,840 Ulloa St   San Francisco   CA   94127,no,http://www.bullsheadsf.com/
The Ice Cream Bar,815 Cole St   San Francisco   CA   94117,no,N/A
Gourmet Delight Bbq,1045 Stockton St   San Francisco   CA   94108,no,N/A
Tikka Masala Haight,1668 Haight St   San Francisco   CA   94117,no,http://www.tikkamasalasf.com/index.htm
The Toaster Oven Sandwich Shop,325 California St   San Francisco   CA   94104,no,http://www.thetoasteroven.com/
Toon Kee Restaurant,2191 Irving St   San Francisco   CA   94122,no,NOT FOUND
Andys #2 Excellent Chinese Cui,2401 Polk St   San Francisco   CA   94109,,None
Original Us Restaurant,515 Columbus Avenue   San Francisco   CA   94133,no,N/A
Gold Rush Grill,350 Bay St Ste 100-326   San Francisco   CA   94133,no,N/A
Navin Thai Restaurant,555 John Muir Dr #b-511   San Francisco   CA   94132,no,navinthai.com
Wallys Restaurant Food To Go,5125 Mission St   San Francisco   CA   94112,no,N/A
Moscone West 2/f,747 Howard St   San Francisco   CA   94103,no,http://www.moscone.com/site/do/index
Cafe 747,747 Howard St   San Francisco   CA   94103,yes,http://www.747cafe.net/
Mlm Futures,1423 Quesana Av   San Francisco   CA   94124,no,N/A
Fredys Ocean Beach Deli,734 La Playa St   San Francisco   CA   94121,no,www.fredysdeli.com/
Seacliff Liquor And Deli,2147 Clement Street   San Francisco   CA   94121,no,n.a
Babys Eatery & Palabok,4609 Mission St   San Francisco   CA   94112,,none
Castro Tarts Cafe And Bakery,564 Castro St   San Francisco   CA   94114,no,N/A
Pita's Cafe,1380 Sutter St   San Francisco   CA   94109,no,http://www.pitascafe.info/
Los Yaquis,1300 Sacramento St #304   San Francisco   CA   94109,no,www.los-yaquis.com/
Mamitas Mexican Grill,358 Beach St   San Francisco   CA   94133,no,n/a
Rolling Cafe,350 Judson Ave   San Francisco   CA   94112,no,www.rollingcafekc.com/
Deli And,583 San Mateo Ave   San Bruno   CA   94066,no,www.deliandbrew.com/
Pancho Villa Taqueria,3071 16th St   San Francisco   CA   94103,yes,http://sfpanchovilla.com/
Nas Coffee,101 Spear St #b3   San Francisco   CA   94105,,not found
Hai's Restaurant,227 Hyde St   San Francisco   CA   94102,,not found
Garden Court Restaurant,2 New Montgomery St   San Francisco   CA   94105,no,not found
Hong Kong Bakery,4711 Mission St   San Francisco   CA   94112,no,No
New Aux Delices Vietnam Restau,1002 Potrero Av   San Francisco   CA   94110,,None
Ino Sushi,22 Peace Plaza   San Francisco   CA   94115,,no website
Tony Baloneys,1098 Howard St   San Francisco   CA   94103,,not found
Cafe Que Tal,1005 Guerrero St   San Francisco   CA   94110,no,NO OFFICIAL WEBSITE FOUND
Oriental Seafood Restaurant,2520 Noriega St   San Francisco   CA   94122,no,NO OFFICIAL WEBSITE FOUND
Nectar Fresh,663 Haight St   San Francisco   CA   94117,no,N/A
Radius,188 King St #206   San Francisco   CA   94107,no,http://radiussf.com/
La Briciola,35 28th Ave #309   San Mateo   CA   94403,no,http://www.redfin.com/CA/San-Mateo/35-28th-Ave-94403/unit-206A/home/969961
Nagano Sushi,3727 Geary Boulevard   San Francisco   CA   94118,no,http://www.naganosushisf.com/
Terzo,1736 Stockton St #3   San Francisco   CA   94133,no,http://www.niceventures.com/
The Old Clam House,420 Columbus Ave   San Francisco   CA   94133,yes,www.theoldclamhousesf.com/
Farallon Restaurant,450 Post St 4th Fl   San Francisco   CA   94102,yes,http://www.farallonrestaurant.com/
Red's Java House,30 Pier   San Francisco   CA   94105,no,http://www.javahousesf.com/
Quiznos #3860,1563 Solano Ave #272   Berkeley   CA   94707,no,N/A
La Veinticuatro,3599 24th St   San Francisco   CA   94110,no,n/a
Sanjalisco Restaurant,901 So Van Ness Ave   San Francisco   CA   94110,yes,http://www.sanjalisco.com/
Russian Renaissance,2095 33rd Ave   San Francisco   CA   94116,,no website
Ono Hawaiian Bbq,21700 Copley Drive   Suite 320   Diamond Bar   CA,no,http://www.onohawaiianbbq.com/
Squat & Gobble Cafe #2,237 Fillmore St   San Francisco   CA   94117,yes,http://www.squatandgobble.com
Nubi Yogurt,21700 Copley Dr Ste 320   Diamond Bar   CA   91765,yes,http://nubiyogurt.com/
Sausalito Espresso #1,100 1st St 160   San Francisco   CA   94105,no,n/a
Paragon Restaurant & Bar,835 5th Avenue   San Rafael   CA   94901,no,n/a
Buena Vista Cafe,2765 Hyde St   San Francisco   CA   94109,no,http://www.thebuenavista.com/home/home.html
Miss Tomato Sandwich Shop,24 Vista Ct   S San Fran   CA   94080,no,http://www.misstomatos.com
Little Spot Cafe The,1199 S Van Ness Ave   San Francisco   CA   94110,,N/A
Star Dogs,963 Plymouth Ave   San Francisco   CA   94112,,none
Chelsea Place,641 Bush St   San Francisco   CA   94108,no,n/a
Cybelles Pizza,3323 Nutmeg Ln   Walnut Creek   CA   94598,no,http://www.cybelles.com/
New India Bazar,1107 Polk St   San Francisco   CA   94109,,none
Momi Tobys Revolution Cafe,528 Laguna St   San Francisco   CA   94102,,None
Belly Burgers,2738 Golden Gate Ave   San Francisco   CA   94118,yes,www.big-belly-burgers.com
Cinque Terre Cafe,1477 Van Ness Ave   San Francisco   CA   94109,,None
Akikos Sushi Bar,Po Box 27586   San Francisco   CA   94127,no,n/a
Seoul Garden Restaurant,22 Peace Plz #270   San Francisco   CA   94115,,None
Cafico Cafe & Bakery,1475 Market St   San Francisco   CA   94103,,no website
Fly,762 Divisadero St   San Francisco   CA   94117,no,http://flybarandrestaurant.com/
Urban Curry,523 Broadway   San Francisco   CA   94133,no,http://www.urbancurry.com/
Four Seasons Hotel Sf,757 Market St   San Francisco   CA   94103,yes,http://www.fourseasons.com/sanfrancisco/
Villa Romana Inc,731 Irving Street   San Francisco   CA   94122,no,http://www.villaromanasf.com/
Osha Thai Ii,545 Leavenworth St #12   San Francisco   CA   94109,no,N/A
Wei Lee Chinese Food & Donuts,501 Clement St   San Francisco   CA   94118,no,n/a
Wolfes Lunch,1220 16th St   San Francisco   CA   94107,,no official website
Hunan Restaurant,25 Kearny St Ste 302   San Francisco   CA   94108,no,www.hunanrestaurant.net/
You And Me Cafe Inc,852 Clement St   San Francisco   CA   94118,,NOT FOUND
Cafe Terzetto Express,80 Miraflores Av   San Rafael   CA   94901,no,NOT FOUND
Sf Drunken Sushi,580 Fulton St #i   San Francisco   CA   94102,no,N/A
Kebabs Of Hayes Valley,406 Hayes St   San Francisco   CA   94102,no,www.kebabsofhayesvalley.com
Zushi Puzzle Inc,16041 Via Nueva   San Lorenzo   CA   94580,no,http://www.zushipuzzle.com/
Silks And Mo Bar,900 North Michigan Ave #1450   Chicago   IL   60611,no,n/a
Source,11 Division St   San Francisco   CA   94103,no,http://www.source-sf.com/
Aicha,522 Steiner Street   San Francisco   CA   94117,no,http://www.aichasf.com
Apic Restaurant Good Llc,222 Sw Columbia St #228   Portland   OR   97201,no,N/A
Shiso Restaurant,3452 Mission Street   San Francisco   CA   94110,no,http://www.fogliftercafe.com/
Patpong Thai Cuisine Inc,2415 Clement St   San Francisco   CA   94121,no,www.patpongthai.com/
Buckhorn Grill,10 Main St   Winters   CA   95694,no,http://www.buckhorngrill.com/contact.aspx
Escape From New York Pizza,2109 Polk St   San Francisco   CA   94109,no,http://www.escapefromnewyorkpizza.com
Pizza Prada,239 Powell St   San Francisco   CA   94102,no,n/a
Nick's Lighthouse,2815 Taylor Street   San Francisco   CA   94133,no,http://www.nickslighthouse.com/
Leopolds,2400 Polk St   San Francisco   CA   94109,no,www.leopoldssf.com
Cafe De La Presse,352 Grant Avenue   San Francisco   CA   94108,yes,www.cafedelapresse.com
R & G Executive Lounge Inc,631 Kearny St #b   San Francisco   CA   94108,no,http://www.rnglounge.com/
R Bar,1176 Sutter St   San Francisco   CA   94109,,not found
Cafe Venue Leidesdorff,734 Merrimac Pl   Danville   CA   94526,,none
El Tesoro Taqueria & Grill,599 O'farrell St   San Francisco   CA   94102,no,NOT FOUND
Roma Pizzeria,5099 Mission St   San Francisco   CA   94112,no,http://romapizzeriasf.com/
Dubliner West Portal,328 West Portal Ave   San Francisco   CA   94127,yes,http://www.dublinerwp.com/
Rsch Operations Inc,1030 W Canton Ave Ste 100   Winter Park   FL   32789,,no official website
S B House Inc,5158 Geary Blvd   San Francisco   CA   94118,no,http://www.myshabuhouse.com/
S F Oceanic Restaurant,94 Clearview Dr   Daly City   CA   94015,no,www.sfoceanpizza.com/
Sanquin Coffee Inc,881 San Jose Avenue Apt #3   San Francisco   CA   94110,,no official website
Cafe Bellini,235 Powell St   San Francisco   CA   94102,no,http://www.cafebellinisf.com/
Dna Pizza,375 11th St   San Francisco   CA   94103,no,http://www.dnapizza.com/
Caffe Roma,885 Bryant St   San Francisco   CA   94103,no,http://www.cafferoma.com
Wildlife Connection Espresso,4699 Marion St   Denver   CO   80216,,no offical webiste found
Teaway,2045 Irving St   San Francisco   CA   94122,yes,http://www.teawayusa.com
Teaway,2045 Irving St   San Francisco   CA   94122,,NONE
Johns Burger,815 Meadow View Dr   Richmond   CA   94806,no,n/a
Hoang-dat Coffee Shop,930 Geary St   San Francisco   CA   94109,,none
Atami Sushi Bar & Grill,1662 Lombard St #a   San Francisco   CA   94123,,no offical webiste found
Katia's Restaurant,600 5th Ave   San Francisco   CA   94118,yes,http://www.katias.com/
The Pitt Bbq & Soulfood,705 Divisadero St   San Francisco   CA   94117,yes,http://thepittbbqsoulfood.com/
Liquor Express & Deli,4715 Geary Blvd   San Francisco   CA   94118,,not found
Youngs Bbq,224 22nd Ave   San Francisco   CA   94121,no,N/A
Eden Cafe,47 Franklin St   San Francisco   CA   94102,,none
Shanghai China Restaurant,1559 Mission St   San Francisco   CA   94103,no,http://shanghaichinasf.com/
Libreria Pino,14 Vasquez Ave   San Francisco   CA   94127,no,http://www.libreriapino.com/
Argonaut Book Shop 786,786 Sutter St   San Francisco   CA   94109,no,http://www.argonautbookshop.com/
Dog Eared Books,4104 24th Street Ste 746   San Francisco   CA   94114,yes,www.dogearedbooks.com/
Red Hill Books,4104 24th Street Ste 746   San Francisco   CA   94114,no,N/A
Amazing Fantasy,650 Irving St   San Francisco   CA   94122,no,http://www.amazingfantasy.com/
The Buck,1346 Stevenson St #b301   San Francisco   CA   94103,,none
Cafe Des Amis,3001 19th St   San Francisco   CA   94110,yes,http://www.cafedesamis.com/
Izakaya Sozai,1500 Irving St   San Francisco   CA   94122,no,http://www.izakayasozai.com/
Ithai,1290 25th Ave #201   San Francisco   CA   94122,no,www.ithai.com.au/
2g Japanese Brasserie,471 40th Ave   San Francisco   CA   94121,no,NOT FOUND
Sai's Vietnamese Restaurant,1151 Taraval St   San Francisco   CA   94116,no,N/A
Burger King #4474,1901 Sioux Dr   Fremont   CA   94539,no,http://www.bk.com/
Katana-ya Sf Llc,422 Geary St #b   San Francisco   CA   94102,no,N/A
Chasing Lions Cafe,25 Lakewood Ave   San Francisco   CA   94127,no,www.luvchasinglions.com
Ozone Restaurant,1160 Polk St 2nd Flr   San Francisco   CA   94109,no,www.ozonecaferestaurant.com/
Legrin Inc,235 Powell St   San Francisco   CA   94102,,no official website
Legrin Inc,235 Powell St   San Francisco   CA   94102,no,N/A
The Plant Pi,371 Greendale Way   Emerald Hills   CA   94062,,no offical webiste found
Liverpool Lils Restaurant,2942 Lyon St   San Francisco   CA   94123,,not found
Bonanza Restaurant,16 Toland St   San Francisco   CA   94124,,not found
El Paraiso Cafe,1198 Treat Av   San Francisco   CA   94110,no,http://www.elparaisocafe.com/
Old Jerusalem Restaurant,491 Milton Ave #3   San Bruno   CA   94066,no,n/a
Ziryab Mediterranean Grill,501 Divisadero St   San Francisco   CA   94117,no,http://ziryabgrill.com/
Chef Hunan Chinese Restaurant,4661 Mission St   San Francisco   CA   94112,,http://www.hunanchefsf.com/
Sanppo Restaurant,1702 Post St   San Francisco   CA   94115,no,http://www.sanppo.com/
Thai Time Restaurant,315 8th Ave   San Francisco   CA   94118,,no website
El Faro,2618 Farnee Ct   S San Fran   CA   94080,no,www.elfaro.net/
Hot Dog Bills #1,675 Santa Barbara Ave   Millbrae   CA   94030,no,N/A
La Folie,2316 Polk St   San Francisco   CA   94109,no,www.lafolie.com/
Dano Vietnamese Cafe,5688 3rd St   San Francisco   CA   94124,no,N/A
Cafe International,508 Haight St   San Francisco   CA   94117,,none
Marrakech Moroccan Restaurant,419 O'farrell St   San Francisco   CA   94102,yes,http://marrakechsf.com/
Kamakura Sushi And Sake House,77 Battery St # 100   San Francisco   CA   94111,no,http://kamakurasushisake.eat24hour.com/
Tartine Talbot,244 Gough St   San Francisco   CA   94102,no,www.tartinetalbot.com/
Mini Cafe & French Sandwich,28 Van Ness Ave   San Francisco   CA   94102,no,http://www.mimiscafe.com/
Nob Hill Grille,969 Hyde St   San Francisco   CA   94109,no,http://nobhillgrille.com/
Feed Bag The,363 Waller St   San Francisco   CA   94117,no,http://www.thefeedbag.net/index.htm
The Melt,345 Spear St #125   San Francisco   CA   94105,no,https://themelt.com/
Cafe Delucchi Inc,500 Columbus Street   San Francisco   CA   94133,yes,http://www.caffedelucchi.com/
Cupola,1 Market Street Suite #347   San Francisco   CA   94105,yes,http://cupolasf.com/
French Baguette,100 Bush St #110   San Francisco   CA   94104,,None
21 Taylor Club,98 Turk St   San Francisco   CA   94102,no,N/A
Double Decker,465 Grove St   San Francisco   CA   94102,no,No official website
Fuel Cafe,618 Bay Rd   Menlo Park   CA   94025,no,No website
301 Mission Restaurant Co Llc,335 Powell Street 13th Floor   San Francisco   CA   94102,yes,http://michaelmina.net
Camp,330 Clement St   San Francisco   CA   94118,no,http://camputer.org/
Orbit Room,770 Haight St #a   San Francisco   CA   94117,no,n/a
Akai Saru Corporation,739 Washington St #300   San Francisco   CA   94108,no,N/A
Afc Cafe 8 Inc,360a Jefferson St.   San Francisco   CA   94133,,None
New Golden Daisy,1041 Stockton St   San Francisco   CA   94108,no,No official website
Broadway Showgirls Cabaret,Po Box 2602   Seattle   WA   98111,yes,NA
Subway #25578,99 Drumm St   San Francisco   CA   94111,no,not found
Mister Bing's,201 Columbus Av   San Francisco   CA   94133,yes,www.mrbings.com/
The Grill,799 Bryant St   San Francisco   CA   94107,no,sanfrancisco.menupages.com/restaurants/the-grill/menu
The Grove Fillmore,333 Grant Avenue   #704   San Francisco   CA,no,N/A
Maestro Restalirant,555 Golden Gate Ave   San Francisco   CA   94102,no,N/A
Crustacean,4951 Mission St   San Francisco   CA   94112,,none
San Francisco City Jail,1101 Market Street 11th Fl   Philadelphia   PA   19101,,official website is not available.
Kong Sing Restaurant,62 2nd St   San Francisco   CA   94105,yes,www.sanfrancisco.com/kong-sing-restaurant-b256858
Banana House,321 Kearny St   San Francisco   CA   94108,,none
Barney's Marina Hamburgers,Barney's San Francisco   Inc.   Berkeley   CA,yes,http://www.barneyshamburgers.com/
Kentucky Fried Chicken,5544 South Green St   Murray   UT   84123,no,http://www.kfc.com/
Kentucky Fried Chicken,5544 So Green St   Murray   UT   84123,,None
Hole In The Wall Saloon,477 Utah Street   San Francisco   CA   94110,yes,http://www.holeinthewallsaloon.com/
Cathay Express Restaurant,739 Washington St Ste #300   San Francisco   CA   94108,no,NA
Eclipse Cafe,Attn: Tax Department   Moore   OK   73160,no,
Han's Coffee Shop,900 Sutter St   San Francisco   CA   94109,no,NA
Iberia Catering Inc,2850 Alemany Bl   San Francisco   CA   94112,no,http://www.patioespanol.com/
Blue,2337 Market St   San Francisco   CA   94114,no,http://blue.velvetcantina.com/
Expresso Rapido,2319 Mission St   San Francisco   CA   94110,no,n/a
Boulevard,One Mission Street   San Francisco   CA   94105,no,http://www.boulevardrestaurant.com/
Gracias Madre,160 14th Street   San Francisco   CA   94103,no,http://www.gracias-madre.com
Noodle Express,1233 Van Ness Ave   San Francisco   CA   94109,no,N/A
Won Mi Restaurant,1545 Fillmore St   San Francisco   CA   94115,,no official website
Man Kee Cafe,670 Broadway St   San Francisco   CA   94133,yes,https://foursquare.com/v/man-kee-cafe.../4c82c2ba2f1c236a12f83c4...
Sutter Cafe,330 Sutter St   San Francisco   CA   94108,,NOT FOUND
Taishan Cafe,1125 Clement St   San Francisco   CA   94118,no,NA
Melt!,700 Columbus Ave   San Francisco   CA   94133,no,http://melt-cafe.com/
Caftec Inc,3450 3rd St #4f   San Francisco   CA   94124,no,http://www.caftec.com/
Roadside Bbq,3440 Geary Blvd   San Francisco   CA   94118,no,http://roadsidebbq.com
Jade Garden,3608 Balboa St   San Francisco   CA   94121,no,n/a
Ls Caffe,695 35th Ave #303   San Francisco   CA   94121,yes,http://www.lscaffe.com/
E Tutto Qua,270 Columbus Av   San Francisco   CA   94133,no,http://www.etuttoqua.com/
Caramba,78 2nd St   San Francisco   CA   94105,no,http://www.carambasf.com/
Bund Shanghai Restaurant,19012 Mt Jasper Dr   Castro Valley   CA   94552,no,n/a
Cafe La Taza,2475 Mission St   San Francisco   CA   94110,no,http://cafelataza.com/
Coffee Roaster Inc The,536 Davis St   San Francisco   CA   94111,no,NA
Food Express,700 Grant Ave   San Francisco   CA   94108,no,N/A
Fat Beli Deli,106 Burrows St   San Francisco   CA   94134,,none
Chatz Coffee & Tea,294 Santa Monica Ave   Menlo Park   CA   94025,,www.ytable.com/tables/.../List-of-San-Francisco-Businesses?...
Lightening Foods,98 Mission St   San Francisco   CA   94105,no,N/A
Burger King,35 Powell St   San Francisco   CA   94102,no,http://www.bk.com/
Eric's Restaurant,1500 Church Street   San Francisco   CA   94131,no,http://www.ericrestaurant.com/
Auntie Anne's Pretzel,5724 N Pulaski Rd   Chicago   IL   60646,,None
The Perch,3296 22nd St   San Francisco   CA   94110,no,N/A
Burma Super Star Restaurant,309 Clement St   San Francisco   CA   94118,no,http://www.burmasuperstar.com/
Fog Towne Cafe,1155 Market St   1st Fl   San Francisco   CA,no,N/A
La Boulange De Yerba Buena,2325 Pine St   San Francisco   CA   94115,yes,http://laboulangebakery.com/
Bourdolan Restaurant Llc,25 Lusk St   San Francisco   CA   94107,no,NO OFFICIAL WEBSITE FOUND
25 Lusk Restaurant,25 Lusk St   San Francisco   CA   94107,no,www.25lusk.com/
Espressions,6 Rotteck St   San Francisco   CA   94112,no,N/A
Chomp And Swig,1541 Clement St   San Francisco   CA   94118,no,http://www.chompandswig.com/
Clementine Restaurant Llc,126 Clement St   San Francisco   CA   94118,no,No official website
The Parlor Bar,2801 Leavenworth St #j-32   San Francisco   CA   94133,yes,http://www.theparlorsf.com/
Tataki South,1740 Church St   San Francisco   CA   94131,no,http://www.tatakisushibar.com/
Gingerfruit Restaurant & Bar,421 Lawton St   San Francisco   CA   94122,no,NO OFFICIAL WEBSITE FOUND
Tee Off Seafood Restaurant,462 33rd Ave   San Francisco   CA   94121,no,N/A
Cafe Tiramisu,28 Belden St   San Francisco   CA   94104,yes,http://www.cafetiramisu.com/
Momo's,760 2nd St   San Francisco   CA   94107,yes,http://www.sfmomos.com/
Greenburger's,1635 Golden Gate Ave   San Francisco   CA   94115,no,n/a
Maui Wowi Hawaiian,1573 Shrader St   San Francisco   CA   94117,no,N/A
